英文,中文,,,,,,,,,,,,,,,,,,,,,,,,
0.764690014,0.940315701,,,,,,,,,,,,,,,,,,,,,,,,
1.138452625,0.975202371,,,,,,,,,,,,,,,,,,,,,,,,
1.090769842,1.106105117,,,,,,,,,,,,,,,,,,,,,,,,
0.665283359,0.693793887,,,,,,,,,,,,,,,,,,,,,,,,
1.388392704,1.432933192,,,,,,,,,,,,,,,,,,,,,,,,
0.879765151,0.855211941,,,,,,,,,,,,,,,,,,,,,,,,
0.965618731,1.034410731,,,,,,,,,,,,,,,,,,,,,,,,
1.399071362,1.236706284,,,,,,,,,,,,,,,,,,,,,,,,
1.451296359,1.033844049,,,,,,,,,,,,,,,,,,,,,,,,
1.087336762,1.05048413,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.965618731,1.034410731,,1.399071362,1.236706284,,1.451296359,1.033844049